"year","fn_status","road_user","Sum(hospitalisations)"
2021,"First Nations people","Car driver, passenger or unknown position",1158
2021,"First Nations people","Heavy transport driver, passenger or unknown position",7
2021,"First Nations people","Motorcyclist",520
2021,"First Nations people","Other or unknown",52
2021,"First Nations people","Pedal cyclist",207
2021,"First Nations people","Pedestrian",235
2021,"First Nations people","Pick-up truck or van occupant",28
2021,"Non-Indigenous","Bus occupant",84
2021,"Non-Indigenous","Car driver, passenger or unknown position",17098
2021,"Non-Indigenous","Heavy transport driver, passenger or unknown position",223
2021,"Non-Indigenous","Motorcyclist",8259
2021,"Non-Indigenous","Other or unknown",541
2021,"Non-Indigenous","Pedal cyclist",7861
2021,"Non-Indigenous","Pedestrian",2072
2021,"Non-Indigenous","Pick-up truck or van occupant",312
