"year","counterparty","state","Sum(cases)"
2017,"Fixed or stationary object","Qld",1224
2017,"Fixed or stationary object","SA",372
2017,"Fixed or stationary object","Tas",110
2017,"Fixed or stationary object","Vic",1509
2017,"Fixed or stationary object","WA",436
2017,"Non-collision transport accident","ACT",219
2017,"Non-collision transport accident","NSW",2638
2017,"Non-collision transport accident","NT",292
2017,"Non-collision transport accident","Qld",2546
2017,"Non-collision transport accident","SA",688
2017,"Non-collision transport accident","Tas",234
2017,"Non-collision transport accident","Vic",2266
2017,"Non-collision transport accident","WA",969
2017,"Other","ACT",118
2017,"Other","NSW",1826
2017,"Other","NT",106
2017,"Other","Qld",1690
2017,"Other","SA",444
2017,"Other","Tas",103
2017,"Other","Vic",1740
2017,"Other","WA",699
2018,"Car, pick-up truck or van","ACT",283
2018,"Car, pick-up truck or van","NSW",4134
2018,"Car, pick-up truck or van","NT",240
2018,"Car, pick-up truck or van","Qld",3749
2018,"Car, pick-up truck or van","SA",926
2018,"Car, pick-up truck or van","Tas",254
2018,"Car, pick-up truck or van","Vic",5675
2018,"Car, pick-up truck or van","WA",1179
2018,"Fixed or stationary object","ACT",79
2018,"Fixed or stationary object","NSW",1410
2018,"Fixed or stationary object","NT",129
2018,"Fixed or stationary object","Qld",1271
2018,"Fixed or stationary object","SA",384
2018,"Fixed or stationary object","Tas",115
2018,"Fixed or stationary object","Vic",1607
2018,"Fixed or stationary object","WA",458
2018,"Non-collision transport accident","ACT",213
2018,"Non-collision transport accident","NSW",2511
2018,"Non-collision transport accident","NT",362
2018,"Non-collision transport accident","Qld",2707
2018,"Non-collision transport accident","SA",729
2018,"Non-collision transport accident","Tas",294
2018,"Non-collision transport accident","Vic",2309
2018,"Non-collision transport accident","WA",958
2018,"Other","ACT",137
2018,"Other","NSW",1739
2018,"Other","NT",101
2018,"Other","Qld",1654
2018,"Other","SA",450
2018,"Other","Tas",118
2018,"Other","Vic",1862
2018,"Other","WA",679
2019,"Car, pick-up truck or van","ACT",243
2019,"Car, pick-up truck or van","NSW",4303
2019,"Car, pick-up truck or van","NT",155
2019,"Car, pick-up truck or van","Qld",3885
2019,"Car, pick-up truck or van","SA",924
2019,"Car, pick-up truck or van","Tas",223
2019,"Car, pick-up truck or van","Vic",5630
2019,"Car, pick-up truck or van","WA",1270
2019,"Fixed or stationary object","ACT",82
2019,"Fixed or stationary object","NSW",1374
2019,"Fixed or stationary object","NT",114
2019,"Fixed or stationary object","Qld",1322
2019,"Fixed or stationary object","SA",354
2019,"Fixed or stationary object","Tas",115
2019,"Fixed or stationary object","Vic",1524
2019,"Fixed or stationary object","WA",512
2019,"Non-collision transport accident","ACT",213
2019,"Non-collision transport accident","NSW",2501
2019,"Non-collision transport accident","NT",277
2019,"Non-collision transport accident","Qld",2611
2019,"Non-collision transport accident","SA",688
2019,"Non-collision transport accident","Tas",213
