"year","state","road_user","Sum(cases)"
2014,"NSW","Motorcyclist",2636
2014,"NSW","Other or unknown",131
2014,"NSW","Pedal cyclist",1902
2014,"NSW","Pedestrian",1000
2014,"NSW","Pick-up truck or van occupant",73
2014,"NT","Bus occupant",7
2014,"NT","Car driver, passenger or unknown position",276
2014,"NT","Heavy transport driver, passenger or unknown position",5
2014,"NT","Motorcyclist",150
2014,"NT","Other or unknown",0
2014,"NT","Pedal cyclist",65
2014,"NT","Pedestrian",59
2014,"NT","Pick-up truck or van occupant",0
2014,"QLD","Bus occupant",49
2014,"QLD","Car driver, passenger or unknown position",3580
2014,"QLD","Heavy transport driver, passenger or unknown position",146
2014,"QLD","Motorcyclist",2070
2014,"QLD","Other or unknown",134
2014,"QLD","Pedal cyclist",1333
2014,"QLD","Pedestrian",372
2014,"QLD","Pick-up truck or van occupant",41
2014,"SA","Bus occupant",8
2014,"SA","Car driver, passenger or unknown position",1066
2014,"SA","Heavy transport driver, passenger or unknown position",35
2014,"SA","Motorcyclist",557
2014,"SA","Other or unknown",16
2014,"SA","Pedal cyclist",494
2014,"SA","Pedestrian",162
2014,"SA","Pick-up truck or van occupant",26
2014,"TAS","Bus occupant",0
2014,"TAS","Car driver, passenger or unknown position",261
2014,"TAS","Heavy transport driver, passenger or unknown position",0
2014,"TAS","Motorcyclist",204
2014,"TAS","Other or unknown",9
2014,"TAS","Pedal cyclist",111
2014,"TAS","Pedestrian",45
2014,"TAS","Pick-up truck or van occupant",0
2014,"VIC","Bus occupant",57
2014,"VIC","Car driver, passenger or unknown position",4070
2014,"VIC","Heavy transport driver, passenger or unknown position",107
2014,"VIC","Motorcyclist",1654
2014,"VIC","Other or unknown",115
2014,"VIC","Pedal cyclist",1819
2014,"VIC","Pedestrian",643
2014,"VIC","Pick-up truck or van occupant",58
2014,"WA","Bus occupant",29
2014,"WA","Car driver, passenger or unknown position",1282
2014,"WA","Heavy transport driver, passenger or unknown position",35
2014,"WA","Motorcyclist",865
2014,"WA","Other or unknown",69
2014,"WA","Pedal cyclist",657
2014,"WA","Pedestrian",198
2014,"WA","Pick-up truck or van occupant",19
2015,"ACT","Bus occupant",12
2015,"ACT","Car driver, passenger or unknown position",275
2015,"ACT","Heavy transport driver, passenger or unknown position",6
2015,"ACT","Motorcyclist",145
2015,"ACT","Other or unknown",0
2015,"ACT","Pedal cyclist",222
2015,"ACT","Pedestrian",27
2015,"NSW","Bus occupant",96
2015,"NSW","Car driver, passenger or unknown position",5428
2015,"NSW","Heavy transport driver, passenger or unknown position",163
2015,"NSW","Motorcyclist",2459
2015,"NSW","Other or unknown",129
2015,"NSW","Pedal cyclist",1793
2015,"NSW","Pedestrian",951
2015,"NSW","Pick-up truck or van occupant",65
2015,"NT","Bus occupant",0
2015,"NT","Car driver, passenger or unknown position",335
2015,"NT","Heavy transport driver, passenger or unknown position",0
2015,"NT","Motorcyclist",169
2015,"NT","Other or unknown",0
2015,"NT","Pedal cyclist",81
2015,"NT","Pedestrian",71
2015,"NT","Pick-up truck or van occupant",19
2015,"QLD","Bus occupant",40
2015,"QLD","Car driver, passenger or unknown position",4013
2015,"QLD","Heavy transport driver, passenger or unknown position",141
2015,"QLD","Motorcyclist",2144
2015,"QLD","Other or unknown",113
2015,"QLD","Pedal cyclist",1378
2015,"QLD","Pedestrian",427
2015,"QLD","Pick-up truck or van occupant",50
2015,"SA","Bus occupant",6
2015,"SA","Car driver, passenger or unknown position",1193
2015,"SA","Heavy transport driver, passenger or unknown position",17
2015,"SA","Motorcyclist",549
2015,"SA","Other or unknown",32
2015,"SA","Pedal cyclist",517
2015,"SA","Pedestrian",121
2015,"SA","Pick-up truck or van occupant",12
2015,"TAS","Bus occupant",0
2015,"TAS","Car driver, passenger or unknown position",325
2015,"TAS","Heavy transport driver, passenger or unknown position",8
2015,"TAS","Motorcyclist",197
2015,"TAS","Other or unknown",9
2015,"TAS","Pedal cyclist",93
2015,"TAS","Pedestrian",35
2015,"TAS","Pick-up truck or van occupant",0
2015,"VIC","Bus occupant",60
2015,"VIC","Car driver, passenger or unknown position",4558
2015,"VIC","Heavy transport driver, passenger or unknown position",107
2015,"VIC","Motorcyclist",1694
2015,"VIC","Other or unknown",122
2015,"VIC","Pedal cyclist",1894
2015,"VIC","Pedestrian",700
2015,"VIC","Pick-up truck or van occupant",63
2015,"WA","Bus occupant",13
2015,"WA","Car driver, passenger or unknown position",1372
2015,"WA","Heavy transport driver, passenger or unknown position",33
2015,"WA","Motorcyclist",842
2015,"WA","Other or unknown",70
2015,"WA","Pedal cyclist",621
2015,"WA","Pedestrian",204
2015,"WA","Pick-up truck or van occupant",8
2016,"ACT","Bus occupant",0
2016,"ACT","Car driver, passenger or unknown position",250
2016,"ACT","Heavy transport driver, passenger or unknown position",0
2016,"ACT","Motorcyclist",147
2016,"ACT","Other or unknown",5
2016,"ACT","Pedal cyclist",215
2016,"ACT","Pedestrian",28
2016,"ACT","Pick-up truck or van occupant",0
2016,"NSW","Bus occupant",114
2016,"NSW","Car driver, passenger or unknown position",5639
2016,"NSW","Heavy transport driver, passenger or unknown position",133
2016,"NSW","Motorcyclist",2648
2016,"NSW","Other or unknown",134
2016,"NSW","Pedal cyclist",1775
2016,"NSW","Pedestrian",964
2016,"NSW","Pick-up truck or van occupant",67
2016,"NT","Bus occupant",5
2016,"NT","Car driver, passenger or unknown position",374
2016,"NT","Heavy transport driver, passenger or unknown position",5
2016,"NT","Motorcyclist",151
2016,"NT","Other or unknown",6
2016,"NT","Pedal cyclist",70
2016,"NT","Pedestrian",59
2016,"NT","Pick-up truck or van occupant",12
