"calendar year","age group","state or territory","Sum(count of cases excluding died in hospitals within 30 days)"
2017,"17-25","VIC",2212
2017,"17-25","WA",612
2017,"26-39","ACT",153
2017,"26-39","NSW",2510
2017,"26-39","NT",197
2017,"26-39","QLD",2142
2017,"26-39","SA",525
2017,"26-39","TAS",104
2017,"26-39","VIC",2763
2017,"26-39","WA",804
2017,"40-64","ACT",237
2017,"40-64","NSW",3647
2017,"40-64","NT",204
2017,"40-64","QLD",3004
2017,"40-64","SA",791
2017,"40-64","TAS",233
2017,"40-64","VIC",3607
2017,"40-64","WA",1080
2017,"65-74","ACT",42
2017,"65-74","NSW",847
2017,"65-74","NT",30
2017,"65-74","QLD",580
2017,"65-74","SA",205
2017,"65-74","TAS",68
2017,"65-74","VIC",784
2017,"65-74","WA",177
2017,"75+","ACT",0
2017,"75+","NSW",799
2017,"75+","NT",17
2017,"75+","QLD",451
2017,"75+","SA",220
2017,"75+","TAS",0
2017,"75+","VIC",661
2017,"75+","WA",171
2017,"8-16","ACT",40
2017,"8-16","NSW",630
2017,"8-16","NT",56
2017,"8-16","QLD",699
2017,"8-16","SA",150
2017,"8-16","TAS",50
2017,"8-16","VIC",574
2017,"8-16","WA",288
2018,"0-7","ACT",14
2018,"0-7","NSW",130
2018,"0-7","NT",12
2018,"0-7","QLD",204
2018,"0-7","SA",36
2018,"0-7","TAS",8
2018,"0-7","VIC",228
2018,"0-7","WA",76
2018,"17-25","ACT",143
2018,"17-25","NSW",1974
2018,"17-25","NT",221
2018,"17-25","QLD",2061
2018,"17-25","SA",482
2018,"17-25","TAS",164
2018,"17-25","VIC",2311
2018,"17-25","WA",627
2018,"26-39","ACT",171
2018,"26-39","NSW",2285
2018,"26-39","NT",256
2018,"26-39","QLD",2286
2018,"26-39","SA",572
2018,"26-39","TAS",161
2018,"26-39","VIC",2862
2018,"26-39","WA",808
2018,"40-64","ACT",248
2018,"40-64","NSW",3283
2018,"40-64","NT",241
2018,"40-64","QLD",3052
2018,"40-64","SA",853
2018,"40-64","TAS",266
2018,"40-64","VIC",3780
2018,"40-64","WA",1111
2018,"65-74","ACT",50
2018,"65-74","NSW",779
2018,"65-74","NT",21
2018,"65-74","QLD",621
2018,"65-74","SA",180
2018,"65-74","TAS",69
2018,"65-74","VIC",900
2018,"65-74","WA",217
2018,"75+","ACT",49
2018,"75+","NSW",781
2018,"75+","NT",7
2018,"75+","QLD",486
2018,"75+","SA",187
2018,"75+","TAS",30
2018,"75+","VIC",795
2018,"75+","WA",176
2018,"8-16","ACT",37
2018,"8-16","NSW",562
2018,"8-16","NT",66
2018,"8-16","QLD",671
2018,"8-16","SA",179
2018,"8-16","TAS",54
2018,"8-16","VIC",577
2018,"8-16","WA",259
2019,"0-7","ACT",0
2019,"0-7","NSW",149
2019,"0-7","NT",12
2019,"0-7","QLD",165
2019,"0-7","SA",53
2019,"0-7","TAS",8
2019,"0-7","VIC",183
2019,"0-7","WA",102
2019,"17-25","ACT",128
2019,"17-25","NSW",1950
2019,"17-25","NT",178
2019,"17-25","QLD",2004
2019,"17-25","SA",498
2019,"17-25","TAS",153
2019,"17-25","VIC",2185
2019,"17-25","WA",622
2019,"26-39","ACT",181
2019,"26-39","NSW",2240
2019,"26-39","NT",180
2019,"26-39","QLD",2216
2019,"26-39","SA",539
2019,"26-39","TAS",163
2019,"26-39","VIC",2894
2019,"26-39","WA",864
2019,"40-64","ACT",217
2019,"40-64","NSW",3357
2019,"40-64","NT",185
2019,"40-64","QLD",3165
2019,"40-64","SA",809
2019,"40-64","TAS",211
2019,"40-64","VIC",3838
2019,"40-64","WA",1224
2019,"65-74","ACT",53
2019,"65-74","NSW",836
2019,"65-74","NT",29
2019,"65-74","QLD",717
2019,"65-74","SA",217
2019,"65-74","TAS",59
2019,"65-74","VIC",887
2019,"65-74","WA",233
2019,"75+","ACT",18
2019,"75+","NSW",827
2019,"75+","NT",12
2019,"75+","QLD",533
2019,"75+","SA",190
2019,"75+","TAS",58
2019,"75+","VIC",804
2019,"75+","WA",205
2019,"8-16","ACT",29
2019,"8-16","NSW",583
2019,"8-16","NT",44
2019,"8-16","QLD",715
2019,"8-16","SA",151
2019,"8-16","TAS",28
2019,"8-16","VIC",601
2019,"8-16","WA",284
2020,"0-7","ACT",0
2020,"0-7","NSW",151
2020,"0-7","NT",0
2020,"0-7","QLD",233
2020,"0-7","SA",30
2020,"0-7","TAS",26
2020,"0-7","VIC",176
2020,"0-7","WA",72
2020,"17-25","ACT",101
2020,"17-25","NSW",1917
2020,"17-25","NT",202
2020,"17-25","QLD",2183
2020,"17-25","SA",497
2020,"17-25","TAS",192
2020,"17-25","VIC",1917
2020,"17-25","WA",693
2020,"26-39","ACT",174
2020,"26-39","NSW",2076
2020,"26-39","NT",206
2020,"26-39","QLD",2296
2020,"26-39","SA",586
2020,"26-39","TAS",170
2020,"26-39","VIC",2497
2020,"26-39","WA",924
2020,"40-64","ACT",220
2020,"40-64","NSW",3071
2020,"40-64","NT",232
2020,"40-64","QLD",3199
2020,"40-64","SA",807
2020,"40-64","TAS",221
2020,"40-64","VIC",3285
2020,"40-64","WA",1217
2020,"65-74","ACT",47
2020,"65-74","NSW",726
2020,"65-74","NT",44
2020,"65-74","QLD",670
2020,"65-74","SA",224
2020,"65-74","TAS",67
2020,"65-74","VIC",720
2020,"65-74","WA",257
2020,"75+","ACT",0
2020,"75+","NSW",690
2020,"75+","NT",0
2020,"75+","QLD",448
2020,"75+","SA",172
2020,"75+","TAS",41
2020,"75+","VIC",578
2020,"75+","WA",187
2020,"8-16","ACT",56
2020,"8-16","NSW",643
2020,"8-16","NT",73
2020,"8-16","QLD",772
2020,"8-16","SA",187
2020,"8-16","TAS",61
2020,"8-16","VIC",711
2020,"8-16","WA",286
2021,"0-7","ACT",10
2021,"0-7","NSW",146
2021,"0-7","NT",12
2021,"0-7","QLD",186
2021,"0-7","SA",48
2021,"0-7","TAS",10
2021,"0-7","VIC",214
2021,"0-7","WA",67
2021,"17-25","ACT",118
2021,"17-25","NSW",1762
2021,"17-25","NT",178
2021,"17-25","QLD",2316
2021,"17-25","SA",523
2021,"17-25","TAS",199
2021,"17-25","VIC",2070
2021,"17-25","WA",685
2021,"26-39","ACT",174
2021,"26-39","NSW",1956
2021,"26-39","NT",199
2021,"26-39","QLD",2503
2021,"26-39","SA",589
2021,"26-39","TAS",163
2021,"26-39","VIC",2804
2021,"26-39","WA",824
2021,"40-64","ACT",288
2021,"40-64","NSW",3027
2021,"40-64","NT",215
2021,"40-64","QLD",3430
2021,"40-64","SA",848
2021,"40-64","TAS",227
2021,"40-64","VIC",3714
2021,"40-64","WA",1201
2021,"65-74","ACT",48
2021,"65-74","NSW",749
2021,"65-74","NT",35
2021,"65-74","QLD",706
2021,"65-74","SA",265
2021,"65-74","TAS",82
2021,"65-74","VIC",849
2021,"65-74","WA",276
2021,"75+","ACT",15
2021,"75+","NSW",707
2021,"75+","NT",5
2021,"75+","QLD",553
2021,"75+","SA",177
2021,"75+","TAS",65
2021,"75+","VIC",671
2021,"75+","WA",231
2021,"8-16","ACT",60
2021,"8-16","NSW",656
2021,"8-16","NT",56
2021,"8-16","QLD",753
2021,"8-16","SA",182
2021,"8-16","TAS",59
2021,"8-16","VIC",808
2021,"8-16","WA",284
